name,train_loss,val_loss,test_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_acc,val_prec,val_rec,val_f1,val_auc,test_acc,test_prec,test_rec,test_f1,test_auc,ckpt_path
"EXP5_con_reg_R5(p=0.5,wd=1e-2)",0.2908,0.3309,,0.8675,0.7635,0.6518,0.7033,0.9256,0.8528,0.7247,0.6079,0.6612,0.9047,0.8646,0.7489,0.6422,0.6915,0.9162,
"EXP2_con_reg_R2(p=0.2,wd=5e-4)",0.1778,0.5878,,0.9196,0.846,0.8146,0.83,0.9744,0.84,0.6685,0.6407,0.6543,0.8809,0.8472,0.6832,0.6583,0.6706,0.8898,
EXP5_capacidad_minima_batch_grande_sin_reg,0.2788,0.3264,,0.8702,0.7749,0.6494,0.7066,0.9305,0.8509,0.7239,0.5959,0.6537,0.9019,0.8619,0.7465,0.6292,0.6828,0.9126,
"EXP4_con_reg_R4(p=0.4,wd=5e-3)",0.2569,0.3363,,0.8815,0.8192,0.652,0.7261,0.9419,0.8545,0.7475,0.5803,0.6534,0.9008,0.8621,0.7614,0.6058,0.6748,0.9114,
"EXP3_con_reg_R3(p=0.3,wd=1e-3)",0.2201,0.3985,,0.8978,0.8497,0.6994,0.7673,0.9583,0.8517,0.7387,0.5762,0.6474,0.8922,0.8568,0.7437,0.6006,0.6646,0.9013,
"EXP1_con_reg_R1(p=0.1,wd=1e-4)",0.1523,1.138,,0.9298,0.8728,0.8292,0.8504,0.9811,0.8376,0.672,0.6105,0.6398,0.8773,0.8444,0.6822,0.6386,0.6597,0.8855,
EXP3_capacidad_baja_sin_reg,0.1835,0.5859,,0.9154,0.8394,0.8019,0.8202,0.9704,0.8342,0.6582,0.6199,0.6385,0.8759,0.8334,0.6552,0.6225,0.6384,0.8809,
EXP2_capacidad_media_sin_reg,0.1389,1.5132,,0.9421,0.8794,0.8801,0.8798,0.9864,0.8301,0.6438,0.6287,0.6361,0.8703,0.8349,0.6512,0.6485,0.6498,0.8767,
EXP1_sin_reg_big,0.1385,1.4095,,0.9381,0.887,0.8513,0.8688,0.985,0.8296,0.6479,0.6105,0.6286,0.8654,0.8337,0.6539,0.6287,0.641,0.8754,
EXP4_capacidad_compacta_batch_grande_sin_reg,0.2307,0.4043,,0.8904,0.8771,0.6336,0.7357,0.9566,0.8421,0.7377,0.5148,0.6064,0.8842,0.8462,0.7451,0.5304,0.6197,0.893,
